oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
1614546,Sy2,Sb,0.03535,15.7,15.2,16.66,15.336,14.693,14.267,13.92
642661,Sy2,S,0.03567,19.05,18.43,17.591,16.195,15.55,15.208,14.913
1396955,Sy1,S,0.04669,18.25,17.6,17.15,15.715,15.045,14.7,14.437
5319598,Sy2,E...,0.28433,19.72,19.03,19.232,18.288,17.378,17.06,16.745
2726722,Sy1,3,0.03039,17.36,16.84,16.026,14.908,14.283,13.928,13.674
1671737,Sy1,E,0.24074,15.81,15.68,15.4746,15.3765,15.4669,15.2538,15.2285
2302819,Sy1,Sb,0.1203,19.76,19.29,18.039,17.166,16.62,16.239,16.051
2027741,Sy2,SB:,0.02496,14.8,14.15,16.318,14.522,13.664,13.215,12.891
529836,Sy2,2.3,0.03734,15.68,14.91,16.338,14.878,14.24,13.822,13.529
7842604,Sy1,Sd,0.0946,19.26,18.58,17.406,16.175,15.447,15.027,14.717
2665591,Sy2,Sb,0.09488,19.48,18.69,19.36,17.742,16.748,16.248,15.913
1642710,Sy2,E/S0,0.02443,15.41,14.53,16.619,15,14.315,13.977,13.706
510810,Sy2,S0+,0.02959,18.87,18.25,17.791,16.188,15.428,15.066,14.793
465312,Sy2,Sb,0.114,19.08,18.3,19.247,17.47,16.601,16.19,15.857
2712698,Sy1,SBa,0.0334,15.63,14.94,15.879,14.671,14.003,13.638,13.335
1696775,Sy2,Sab,0.204,19.75,19.03,18.788,17.498,16.57,16.131,15.848
1861726,Sy2,Sbc,0.08161,17.55,16.68,18.593,17.239,16.558,16.073,15.884
2051198,Sy2,S0-,0.07115,16.85,16.16,18.634,16.632,15.76,15.333,15.012
2109084,Sy2,Sab,0.08267,18.94,18.26,18.825,17.193,16.358,15.928,15.628
5319602,Sy2,Sa,0.13822,18.95,18.19,18.952,17.395,16.456,16.033,15.789
581430,Sy2,Sb,0.0794,16.65,16.06,17.769,16.437,15.618,15.213,14.884
2633769,Sy2,Sab,0.04987,19.49,18.82,18.726,17.215,16.498,16.064,15.736
415604,Sy2,Sab,0.062,18.56,17.88,18.622,16.86,16.083,15.673,15.392
1638769,Sy1,S0,0.01997,17.24,16.3,16.452,14.876,14.109,13.769,13.494
