OType,ra,dec,rvz_redshift,rvz_radvel
Sy2,232.651165,-0.514009939,0.1298,36406.29435
Sy1,8.523802413,-0.263420974,0.69753,145324.2839
Sy2,235.6698969,27.89741777,0.07434,21460.30464
Sy1,174.1224417,21.59603611,0.03,8858.926048
Sy2,5.144545833,-0.470816667,0.07154,20681.81553
Sy2,149.734626,60.29486727,0.15122,41940.57433
Sy2,146.9560542,-0.342294713,0.13468,37678.68483
Sy2,196.1137696,39.16377157,0.06634,19229.89756
Sy2,226.9766116,1.138000363,0.06102,17736.18372
Sy2,250.9999386,32.16937772,0.1362,38073.60737
Sy2,353.1121451,-1.201683997,0.09349,26722.66212
Sy1,150.4311629,61.32946872,0.07351,21229.77984
Sy2,145.2178196,59.46093107,0.11741,33144.96448
Sy1,8.543004042,0.397208383,0.79711,158033.3557
Sy1,145.5606918,59.9945139,0.07538,21748.86775
Sy1,9.292653,0.857992,0.16,44171.33078
Sy1,204.4604636,38.61210813,0.21159,56843.92327
Sy1,4.470066,-1.216857,0.19,51630.16505
Sy1,231.9295353,14.29696082,0.14903,41380.75106
Sy2,214.2685372,0.507965507,0.02569,7602.772135
Sy2,180.2397402,-2.756654849,0.03506,10326.57993
Sy1,8.56303759,-0.130047459,0.6969,145239.136
Sy1,193.2759165,12.69901146,0.283,73199.58225
Sy2,145.494948,60.80502438,0.091,26044.51607
Sy1,189.7375017,10.94011499,0.11813,33335.69864
Sy2,133.4052116,1.71770983,0.05819,16938.17386
Sy1,145.4576566,61.19967668,0.12358,34774.58712
Sy1,147.1022955,61.66579658,0.17,46685.56619
Sy2,218.7266912,-1.271657659,0.05634,16415.22093
Sy2,137.468341,-0.504666319,0.04825,14116.40539
Sy1,200.901734,38.27835567,0.21453,57544.062
Sy1,8.602353648,14.39826493,0.57567,127633.2921
Sy2,121.1292083,36.12169444,0.66,140141.5591
Sy1,28.53529167,-9.770916667,0.01,2982.935699
Sy1,245.461136,0.585923,0.09,25771.65639
Sy2,150.115333,61.83853002,0.09,25771.65639
Sy1,150.5073845,62.13786976,0.13328,37314.35423
Sy2,147.4279182,61.50570519,0.114,32239.58597
Sy2,109.1300259,-29.32468967,0.005554,1660.423546
Sy2,186.4450833,12.66206944,0.008424623,2515
Sy1,249.2508934,22.35388113,0.21082,56660.16597
Sy1,149.9122177,62.35199387,0.28688,74050.23619
Sy1,155.6403749,58.45136914,0.0771,22225.4059
Sy2,170.4463246,11.73858607,0.050201396,14672.68721
Sy1,8.632267013,-0.220212952,0.381,93548.31947
Sy1,159.0353144,60.04170624,0.25815,67659.85492
Sy1,40.36130625,-0.757293565,0.725,148977.1985
Sy1,344.4126045,-36.93514676,0.039047013,11477.62539
Sy1,14.360412,-0.96614,0.140914152,39294.21895
Sy2,340.6150019,-0.71982589,0.09129,26123.59049
Sy1,9.624675828,-43.74843255,1.567,220790.444
Sy2,160.3849417,61.46040533,0.13183,36936.41877
Sy1,8.722685016,13.80540444,0.618,134066.2249
Sy1,208.959168,20.77069797,0.19618,53135.62746
Sy2,214.3050728,31.20264917,0.070259416,20325
Sy1,8.739256533,0.826068809,0.72374,148812.175
Sy1,214.9567936,31.31561837,0.22997,61182.67441
Sy1,8.74531,13.08952,0.74186,151162.418
Sy1,40.92073974,-0.433667482,0.2681,69897.10761
Sy1,277.5965094,73.21964173,0.123,34621.86579
Sy1,120.3732065,46.43969427,0.31542,80190.81091
Sy1,132.5048719,46.43349114,0.52367,119279.9692
Sy1,41.71612396,-1.12576103,0.62197,134653.3384
Sy1,131.267339,47.534425,0.12274,34553.37297
Sy2,118.10578,36.45526014,0.046,13473.59314
Sy1,116.2129266,35.71986819,0.05,14615.32792
Sy2,116.1718701,33.93082563,0.125,35148.08128
Sy1,187.7193424,14.55148048,0.1151,32532.01188
Sy2,187.7648878,14.78041183,0.10989,31143.86845
Sy1,42.5293003,0.423716449,0.19736,53421.88306
Sy2,214.273045,32.21100825,0.21129,56772.34866
Sy1,152.6100558,63.72655328,0.159,43918.35839
Sy1,9.559199583,-43.55418333,1.4,211096.4645
Sy1,35.3909644,-5.811900409,0.500665,115417.9942
Sy1,186.4198666,14.5848074,0.16223,44734.44322
Sy1,187.1867786,65.70962659,0.08916,25542.22743
Sy1,252.262046,22.666541,,
Sy2,230.658765,33.526639,0.1253,35226.91408
Sy1,200.6327833,26.53328611,0.14412,40120.66496
Sy1,37.26214543,-4.274569583,0.607553,132508.1384
Sy1,216.1997315,32.82659106,0.21016,56502.53149
Sy1,194.3115848,14.30770311,0.28952,74626.84514
Sy2,197.7431962,2.786265443,0.08438,24232.72111
Sy2,219.7456135,2.793070376,0.0985,28081.62071
Sy2,260.9939911,57.39660216,0.13426,37569.44469
Sy2,48.9466046,-5.979340727,0.12524,35211.1496
Sy1,171.905,8.500833333,0.019,5641.953747
Sy2,216.9306315,36.66867711,0.0844,24238.21421
Sy1,8.86442,-0.340835,0.491873,113914.1385
Sy1,197.7065124,14.87898377,0.13042,36568.32992
Sy2,10.30726493,-9.875417629,0.09499,27130.30669
Sy2,120.905527,39.442535,0.06554,19005.81492
Sy2,130.2794671,3.578159963,0.27404,71220.49913
Sy2,150.5086829,5.862675075,0.20821,56036.10121
Sy2,238.1069527,27.89540041,0.07448,21499.16828
Sy1,8.89153671,-0.692119683,0.61757,134002.4694
Sy1,217.0733608,38.12847607,0.16839,46282.67217
Sy1,191.0216957,14.38099957,0.15326,42460.82888
