OType,ra,dec,rvz_redshift,rvz_radvel,plx_value,u_,g_,r_,i_,z_
Sy2,184.7400833,47.30371944,0.0016,479.2841989,,12.504,10.917,10.098,9.658,9.382
Sy2,197.9102107,40.21195048,0.10656,30252.49601,,18.816,17.218,16.29,15.84,15.512
Sy2,199.0463718,57.38695205,0.13477,37702.08685,,19.842,18.291,17.267,16.735,16.35
Sy1,159.1414677,62.16101166,0.14886,41337.23746,,17.824,17.696,17.323,16.86,16.794
Sy1,198.5144834,36.91087318,0.29673,76192.61751,,19.386,19.134,18.574,18.385,17.959
Sy2,207.9287905,43.166631,0.09293,26570.30579,,18.263,16.508,15.665,15.25,14.952
Sy2,208.4347059,25.08667548,0.13827,38610.36505,,20.541,18.117,17.053,16.562,16.215
Sy2,181.2143984,2.759828681,0.16858,46330.2565,,20.53,18.461,17.322,16.825,16.465
Sy2,216.265989,62.05318558,0.10872,30831.05122,,19.278,17.4,16.444,16.005,15.685
Sy1,218.637098,32.66298848,0.12006,33846.23201,,18.484,17.282,16.569,16.186,15.885
Sy1,148.1751339,58.69825778,0.14271,39757.53779,,19.167,18.055,17.208,16.747,16.468
Sy2,220.6563369,33.03847614,0.057,16601.9046,,,,,,
Sy1,356.7379914,0.941424084,0.18,49171.77751,,19.007,18.05,17.435,17.071,16.89
Sy2,224.1992694,26.33695088,0.062,18011.97221,,,,,,
Sy2,224.4994426,41.87378146,0.15434,42735.7801,,18.947,17.384,16.353,15.966,15.618
Sy2,203.1163966,24.01695902,0.08597,24669.05556,,19.506,17.401,16.504,16.087,15.793
Sy2,225.1716618,5.404972769,0.119,33565.96886,,18.99,17.151,16.139,15.723,15.332
Sy2,225.9694869,24.87612467,0.122,34358.32504,,,,,,
Sy1,226.1482603,24.37095041,0.0629,18264.99637,,19.441,18.065,17.384,17.025,16.771
Sy1,301.7413598,-34.54851575,0.025269776,7480,0.0716,,,,,
Sy1,145.5199517,23.68527168,0.0213,6317.588037,,16.283,14.953,14.28,13.94,13.668
Sy1,146.7145734,59.02499363,0.23182,61614.35459,,18.853,18.564,18.093,17.749,17.562
Sy1,351.4760418,21.8871866,0.1195,33698.20896,,,,,,
Sy2,128.3625191,40.03464583,0.20337,54873.91974,,20.062,18.263,17.084,16.596,16.246
Sy1,147.8720633,59.13236662,0.33,83249.81796,0.3368,,,,,
Sy1,213.103459,-0.83216539,0.02601,7696.227442,,17.02,16.087,15.637,15.393,15.171
Sy2,55.52333333,-6.910277778,0.233,61889.21913,,,,,,
Sy1,202.5444736,35.75417904,0.14522,40403.56203,0.2035,19.66,18.585,17.863,17.437,17.203
Sy2,202.5344009,36.14344558,0.07269,21001.83255,0.0595,18.159,16.462,15.664,15.232,14.977
Sy2,138.1685333,57.88138611,0.19497,52841.69672,,20.802,18.814,17.516,17.009,16.666
Sy1,144.301364,50.14780488,0.275505,71545.4948,0.0792,20.051,19.526,18.787,18.369,17.916
Sy1,150.3797954,59.6609362,0.30538,78053.86378,0.207,19.36,20.88,18.71,18.71,18.68
Sy1,181.3776839,16.82819712,0.21694,58116.2386,0.0092,18.098,17.438,16.878,16.511,16.339
Sy2,132.0403,35.2589,0.056726,16524.4183,,,,,,
Sy2,232.3437379,36.36174036,0.09893,28197.91565,,18.459,16.561,15.573,15.118,14.776
Sy1,214.1284076,1.618896719,0.05401,15755.13559,0.1639,16.652,15.435,14.758,14.362,14.063
Sy1,131.1195504,16.28169706,0.14884,41332.11768,,19.072,18.748,18.252,17.665,17.698
Sy1,143.5899235,31.6263173,0.12366,34795.64451,,18.02,16.994,16.426,15.961,15.862
Sy1,324.1123389,8.658866024,0.09368,26774.33356,,18.509,16.975,16.209,15.749,15.45
Sy1,325.4138994,0.649337846,0.1122,31760.3135,0.1031,18.727,17.547,16.881,16.523,16.276
Sy2,171.7652245,12.94871168,0.15252,42272.24552,,20.025,18.239,17.463,17.008,16.759
Sy1,219.175324,2.385689,0.02261,6701.697858,,16.79,15.947,15.751,15.616,15.519
Sy2,195.3284167,33.82663611,0.1485,41245.06391,,19.75,18.006,16.962,16.452,16.167
Sy2,201.2155292,-1.035022222,0.10672,30295.39854,,18.602,16.903,16.062,15.656,15.315
Sy1,344.9356576,21.17574342,0.10133,28846.0112,1.6578,18.741,17.401,16.454,15.91,15.539
Sy1,8.52314255,-8.990427729,0.45727,107841.4931,,20.0297,19.7206,19.5891,19.2232,18.9061
Sy2,232.651165,-0.514009939,0.1298,36406.29435,,20.768,18.352,17.146,16.601,16.127
Sy1,8.523802413,-0.263420974,0.69753,145324.2839,1.1985,20.2182,20.0437,20.1017,20.0636,19.8603
Sy2,235.6698969,27.89741777,0.07434,21460.30464,,18.304,16.329,15.292,14.767,14.349
Sy1,174.1224417,21.59603611,0.03,8858.926048,,,,,,
Sy2,5.144545833,-0.470816667,0.07154,20681.81553,,18.78,17.035,16.035,15.461,15.077
Sy2,149.734626,60.29486727,0.15122,41940.57433,1.6423,19.712,18.382,17.468,17.07,16.862
Sy2,146.9560542,-0.342294713,0.13468,37678.68483,,20.941,18.915,17.612,17.036,16.515
Sy2,196.1137696,39.16377157,0.06634,19229.89756,,18.51,16.62,15.733,15.255,14.91
Sy2,226.9766116,1.138000363,0.06102,17736.18372,,17.916,16.354,15.645,15.213,14.94
Sy2,250.9999386,32.16937772,0.1362,38073.60737,,20.256,18.447,17.333,16.82,16.43
Sy2,353.1121451,-1.201683997,0.09349,26722.66212,,18.99,17.229,16.343,15.874,15.528
Sy1,150.4311629,61.32946872,0.07351,21229.77984,1.063,19.21,17.721,16.878,16.422,16.157
Sy2,145.2178196,59.46093107,0.11741,33144.96448,1.5001,19.88,18.355,17.486,17.054,16.827
Sy1,8.543004042,0.397208383,0.79711,158033.3557,,20.4275,20.2317,20.1339,20.1265,19.7758
Sy1,145.5606918,59.9945139,0.07538,21748.86775,0.1922,17.974,16.878,16.124,15.7,15.448
Sy1,9.292653,0.857992,0.16,44171.33078,,19.43,18.792,18.478,18.302,18.291
Sy1,204.4604636,38.61210813,0.21159,56843.92327,0.129,18.438,17.846,17.378,17.081,16.906
Sy1,4.470066,-1.216857,0.19,51630.16505,,20.053,19.119,18.537,18.141,18.032
Sy1,231.9295353,14.29696082,0.14903,41380.75106,,19.914,18.302,17.408,16.953,16.656
Sy2,214.2685372,0.507965507,0.02569,7602.772135,,18.421,16.7,15.827,15.381,15.047
Sy2,180.2397402,-2.756654849,0.03506,10326.57993,,18.75,16.898,15.935,15.429,15.01
Sy1,8.56303759,-0.130047459,0.6969,145239.136,0.6353,20.8668,20.4252,20.3198,20.2756,19.9728
Sy1,193.2759165,12.69901146,0.283,73199.58225,,19.46,19.132,18.838,18.907,18.432
Sy2,145.494948,60.80502438,0.091,26044.51607,,,,,,
Sy1,189.7375017,10.94011499,0.11813,33335.69864,0.1614,18.895,18.443,18.111,17.715,17.688
Sy2,133.4052116,1.71770983,0.05819,16938.17386,,17.99,16.346,15.587,15.171,14.858
Sy1,145.4576566,61.19967668,0.12358,34774.58712,1.8829,18.603,17.499,16.698,16.195,15.966
Sy1,147.1022955,61.66579658,0.17,46685.56619,0.0672,19.41,18.999,18.665,18.516,18.79
Sy2,218.7266912,-1.271657659,0.05634,16415.22093,,18.495,16.701,15.803,15.299,14.923
Sy2,137.468341,-0.504666319,0.04825,14116.40539,,18.983,17.233,16.323,15.847,15.466
Sy1,200.901734,38.27835567,0.21453,57544.062,0.0288,19.928,19.188,18.11,17.6,17.326
Sy1,8.602353648,14.39826493,0.57567,127633.2921,,19.9722,19.5261,19.4961,19.2898,19.2307
Sy2,121.1292083,36.12169444,0.66,140141.5591,,22.05,21.36,20.62,19.96,19.91
Sy1,28.53529167,-9.770916667,0.01,2982.935699,,18.82,17.918,17.613,17.499,17.35
Sy1,245.461136,0.585923,0.09,25771.65639,,19.38,18.588,18.25,17.796,17.743
Sy2,150.115333,61.83853002,0.09,25771.65639,1.3615,20.369,18.164,17.224,16.688,16.382
Sy1,150.5073845,62.13786976,0.13328,37314.35423,0.0301,18.24,18.088,17.995,17.523,17.631
