otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy2,197.3099441,62.17494481,0.0279,8247.573018,,119.49,Mpc 
Sy1,135.4933524,60.15170559,0.01113,3318.122515,2.0015,47.2,Mpc 
Sy1,204.3279997,24.38425552,0.108,30638.35038,,453.5,Mpc 
Sy2,42.26636593,-31.17251458,0.019854,5893.004585,,80.99,Mpc 
Sy2,170.3010875,-2.984166667,0.0247,7313.450738,,107.63,Mpc 
Sy1,129.5455762,24.89527606,0.02866,8468.976882,,120.29,Mpc 
Sy1,317.2915406,-9.67076532,0.02651501,7843.652169,0.0141,111.51,Mpc 
Sy1,174.1223766,21.59610682,0.030258192,8934,0.0627,128.29,Mpc 
Sy1,174.1223766,21.59610682,0.030258192,8934,0.0627,131.6,Mpc 
Sy2,349.0028153,25.55668921,0.027729915,8198,,115.1,Mpc 
Sy2,349.0028153,25.55668921,0.027729915,8198,,111.36,Mpc 
Sy1,221.2372089,-23.79436842,0.011204,3340.059451,,45.75,Mpc 
Sy2,181.1236109,20.31629289,0.02262,6704.628019,0.4802,99.25,Mpc 
Sy2,181.1236109,20.31629289,0.02262,6704.628019,0.4802,96.9,Mpc 
Sy2,183.1120319,29.14921064,0.01343,3999.179098,,60.05,Mpc 
Sy2,183.1120319,29.14921064,0.01343,3999.179098,,58.4,Mpc 
Sy2,167.6869234,4.846473577,0.01935,5744.869847,,81.66,Mpc 
Sy2,167.6869234,4.846473577,0.01935,5744.869847,,95.5,Mpc 
Sy2,167.6869234,4.846473577,0.01935,5744.869847,,95.5,Mpc 
Sy1,16.32031122,-58.43757235,0.026040043,7705,0.1021,106.04,Mpc 
Sy2,18.9802436,-50.18938929,0.017498407,5200,0.1303,100.45,Mpc 
Sy2,201.8781523,20.88100888,0.0198,5877.136644,,76.56,Mpc 
Sy2,201.8781523,20.88100888,0.0198,5877.136644,,88.72,Mpc 
Sy2,201.8781523,20.88100888,0.0198,5877.136644,,88.72,Mpc 
Sy1,180.7408763,4.845876322,0.02078,6164.974514,0.115,90.36,Mpc 
Sy1,180.7408763,4.845876322,0.02078,6164.974514,0.115,92.47,Mpc 
Sy1,180.7408763,4.845876322,0.02078,6164.974514,0.115,92.47,Mpc 
Sy1,180.7408763,4.845876322,0.02078,6164.974514,0.115,91.64,Mpc 
Sy2,194.2974803,29.04505092,0.02496,7389.462534,,109.52,Mpc 
Sy2,201.8848547,-27.8720924,0.033987,10015.99537,,134.75,Mpc 
Sy2,192.1934452,41.92125271,0.02726,8060.993652,0.0837,93.76,Mpc 
Sy2,192.1934452,41.92125271,0.02726,8060.993652,0.0837,122.8,Mpc 
Sy2,192.1934452,41.92125271,0.02726,8060.993652,0.0837,93.33,Mpc 
Sy2,103.1540976,45.78061722,0.021335,6327.857193,1.2395,90.88,Mpc 
Sy1,242.1515689,12.3310005,0.0334,9845.940068,0.0308,134.9,Mpc 
Sy2,246.8420999,39.10962566,0.03303,9738.697273,,141.1,Mpc 
Sy2,246.8420999,39.10962566,0.03303,9738.697273,,123.59,Mpc 
Sy2,246.8420999,39.10962566,0.03303,9738.697273,,123.59,Mpc 
Sy1,250.8464099,39.80643877,0.03018,8911.26637,,129.98,Mpc 
Sy1,18.70282165,-0.496135553,0.03384,9973.418786,,144.54,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.61,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.76,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.75,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.76,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.7,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.74,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.76,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.1,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.33,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.63,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,3.9,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.2,Mpc 
Sy2,186.4535971,33.54686116,0.001054619,316,,4.11,Mpc 
Sy1,81.0287884,-12.16912709,0.049384164,14439.85802,,214.8,Mpc 
Sy2,226.4316225,44.4049726,0.02834,8375.775259,,120.23,Mpc 
Sy1,239.7900966,35.02987815,0.03102,9155.393116,,138.9,Mpc 
Sy1,239.7900966,35.02987815,0.03102,9155.393116,,135.55,Mpc 
Sy1,157.8803211,12.49555397,0.033,9730.000118,0.1284,139.96,Mpc 
Sy1,157.8803211,12.49555397,0.033,9730.000118,0.1284,160.69,Mpc 
Sy1,157.8803211,12.49555397,0.033,9730.000118,0.1284,160.69,Mpc 
Sy2,199.1656063,44.87640573,0.09064,25946.32039,0.1882,381.8,Mpc 
Sy1,180.3098043,-3.678059737,0.01948,5783.086484,0.2847,86.1,Mpc 
Sy2,41.01251849,53.47452372,0.036,10598.38441,,158.4,Mpc 
Sy2,276.0807605,-56.36908601,0.016905,5025.160323,,72.55,Mpc 
Sy1,210.674404,1.889776,0.02409,7135.03596,,81.28,Mpc 
Sy2,201.474221,57.254466,0.02098,6223.681604,,95.6,Mpc 
Sy2,176.9320359,1.826233949,0.028597,8450.630234,,122.46,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.39,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.63,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.89,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.47,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.55,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.55,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.7,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.5975,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.7,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.61,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.61,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.64,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,4.3,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.77,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,3.6,Mpc 
Sy2,148.8882194,69.06529514,-1.20E-04,-36,0.1495,4.11,Mpc 
Sy2,179.441928,14.29742511,0.02314,6856.955101,,101.2,Mpc 
Sy2,179.441928,14.29742511,0.02314,6856.955101,,99.11,Mpc 
Sy1,197.7546694,29.15682342,0.747,151820.2013,0.3384,130,pc  
Sy1,168.8048619,29.27131028,0.0705,20392.07209,3.4653,320.63,Mpc 
Sy1,168.8048619,29.27131028,0.0705,20392.07209,3.4653,320.63,Mpc 
Sy2,157.8965078,0.475365673,0.02867,8471.888939,,122,Mpc 
Sy2,342.3775103,17.43376745,0.046365091,13578,,114.29,Mpc 
Sy2,121.0256688,9.814485769,0.03412,10054.51149,,153.46,Mpc 
Sy2,345.53305,25.66964167,0.033127634,9767,,120.23,Mpc 
Sy2,345.53305,25.66964167,0.033127634,9767,,133.66,Mpc 
Sy2,345.53305,25.66964167,0.033127634,9767,,133.66,Mpc 
Sy2,350.5385154,9.269605594,0.042448921,12456,,145.88,Mpc 
Sy2,190.1128996,1.196917713,0.00622,1858.909955,,19.79,Mpc 
Sy2,190.1128996,1.196917713,0.00622,1858.909955,,20.15,Mpc 
Sy2,118.710318,50.03878058,0.02262,6704.628019,,95.04,Mpc 
Sy2,252.8344957,-59.23449574,0.009181807,2740,,37.46,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,10.62,Mpc 
